product_id,categoriesID,name,price,image.image_link,image.alt,url
E456261-000,outerwear,AIRism Áo Hoodie Chống UV Kéo Khóa,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/456261/item/vngoods_10_456261_3x4.jpg?width=294,AIRism Áo Hoodie Chống UV Kéo Khóa,https://www.uniqlo.com/vn/vi/products/E456261-000
E474895-001,outerwear,Áo Parka Chống Tia UV Bỏ Túi | Họa Tiết,784.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474895001/item/vngoods_11_474895001_3x4.jpg?width=294,Áo Parka Chống Tia UV Bỏ Túi | Họa Tiết,https://www.uniqlo.com/vn/vi/products/E474895-001
E474175-000,outerwear,Áo Khoác Chống Tia UV Bỏ Túi,784.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474175/item/vngoods_12_474175_3x4.jpg?width=294,Áo Khoác Chống Tia UV Bỏ Túi,https://www.uniqlo.com/vn/vi/products/E474175-000
E479764-000,outerwear,PUFFTECH Áo Khoác Chần Bông Dáng Ngắn,1.962.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/479764/item/vngoods_30_479764_3x4.jpg?width=294,PUFFTECH Áo Khoác Chần Bông Dáng Ngắn,https://www.uniqlo.com/vn/vi/products/E479764-000
E478580-000,outerwear,PUFFTECH Áo Khoác Chần Bông,2.453.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478580/item/vngoods_36_478580_3x4.jpg?width=294,PUFFTECH Áo Khoác Chần Bông,https://www.uniqlo.com/vn/vi/products/E478580-000
E481602-000,outerwear,Áo Khoác Hai Mặt,784.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/481602/item/vngoods_41_481602_3x4.jpg?width=294,Áo Khoác Hai Mặt,https://www.uniqlo.com/vn/vi/products/E481602-000
E477602-000,outerwear,AIRism Áo Hoodie Chống Tia UV Kéo Khóa | Họa Tiết,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477602/item/vngoods_02_477602_3x4.jpg?width=294,AIRism Áo Hoodie Chống Tia UV Kéo Khóa | Họa Tiết,https://www.uniqlo.com/vn/vi/products/E477602-000
E465471-000,outerwear,Áo Parka Hai Mặt,784.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/465471/item/vngoods_02_465471_3x4.jpg?width=294,Áo Parka Hai Mặt,https://www.uniqlo.com/vn/vi/products/E465471-000
E469871-000,outerwear,PUFFTECH Áo Khoác Chần Bông | Có Mũ,1.471.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/469871/item/vngoods_06_469871_3x4.jpg?width=294,PUFFTECH Áo Khoác Chần Bông | Có Mũ,https://www.uniqlo.com/vn/vi/products/E469871-000
E479208-000,outerwear,Áo Khoác Dáng Ngắn Kéo Khóa,980.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/479208/item/vngoods_30_479208_3x4.jpg?width=294,Áo Khoác Dáng Ngắn Kéo Khóa,https://www.uniqlo.com/vn/vi/products/E479208-000
E484709-000,outerwear,Áo Khoác Cản Gió,1.275.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/484709/item/vngoods_01_484709_3x4.jpg?width=294,Áo Khoác Cản Gió,https://www.uniqlo.com/vn/vi/products/E484709-000
E482767-000,outerwear,Áo Khoác Bomber,1.471.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/482767/item/vngoods_79_482767_3x4.jpg?width=294,Áo Khoác Bomber,https://www.uniqlo.com/vn/vi/products/E482767-000
